W0_GeV,sigma_mc_pb,sigma_used_for_normalization_pb,scale_factor,n_samples,n_finite,raw_events_at_1ab^-1
10,7.063003635062e-01,1.294074360000e-02,1.832187022496e-02,1000000,999977,1.29407436e+04
100,9.273889433869e-05,5.719584200000e-05,6.167406071407e-01,1000000,999963,5.71958420e+01
