bin_low_GeV,bin_high_GeV,bin_center_GeV,bin_width_GeV,SM_sigma_bin_pb,EFT_sigma_bin_pb,EFT_over_SM,ratio_stat_err,expected_SM_events,used_in_fit
1.080000000000000000e+02,1.178000000000000114e+02,1.129000000000000057e+02,9.800000000000011369e+00,2.718272840007784907e-02,2.717302459997483766e-02,9.996430159636593427e-01,1.917679144455634518e-02,2.718272840007784907e+03,1.000000000000000000e+00
1.178000000000000114e+02,1.276000000000000085e+02,1.227000000000000171e+02,9.799999999999997158e+00,1.940606500000541246e-02,1.919300419997682638e-02,9.890209169129070554e-01,2.257532428393868584e-02,1.940606500000541246e+03,1.000000000000000000e+00
1.276000000000000085e+02,1.374000000000000057e+02,1.325000000000000000e+02,9.799999999999997158e+00,1.356600280005437753e-02,1.372974260002024494e-02,1.012069863347309084e+00,2.731362203077489226e-02,1.356600280005437753e+03,1.000000000000000000e+00
1.374000000000000057e+02,1.472000000000000171e+02,1.423000000000000114e+02,9.800000000000011369e+00,1.056482120003465752e-02,1.078323180000495540e-02,1.020673383470946050e+00,3.108224068770997287e-02,1.056482120003465752e+03,1.000000000000000000e+00
1.472000000000000171e+02,1.570000000000000000e+02,1.521000000000000227e+02,9.799999999999982947e+00,7.827308000003085908e-03,7.990249399995263957e-03,1.020817042077827308e+00,3.611334727550064710e-02,7.827308000003085908e+02,1.000000000000000000e+00
1.570000000000000000e+02,1.668000000000000114e+02,1.619000000000000057e+02,9.800000000000011369e+00,5.911041800004568358e-03,6.281716199985964977e-03,1.062708810480939237e+00,4.240090491341938495e-02,5.911041800004568358e+02,1.000000000000000000e+00
1.668000000000000114e+02,1.766000000000000227e+02,1.717000000000000171e+02,9.800000000000011369e+00,4.451019200033101697e-03,5.176787000003457706e-03,1.163056542188126041e+00,5.111762650375627909e-02,4.451019200033101697e+02,1.000000000000000000e+00
1.766000000000000227e+02,1.864000000000000057e+02,1.815000000000000000e+02,9.799999999999982947e+00,3.842669000022169712e-03,3.857021400015980817e-03,1.003735008139844620e+00,5.110848970853847789e-02,3.842669000022169712e+02,1.000000000000000000e+00
1.864000000000000057e+02,1.962000000000000171e+02,1.913000000000000114e+02,9.800000000000011369e+00,2.940307599970992669e-03,3.018084599986536887e-03,1.026451994347908236e+00,5.908441476938129655e-02,2.940307599970992669e+02,1.000000000000000000e+00
1.962000000000000171e+02,2.060000000000000000e+02,2.011000000000000227e+02,9.799999999999982947e+00,1.936551600010716356e-03,2.486092600030076483e-03,1.283772970478204156e+00,8.141971484964272143e-02,1.936551600010716356e+02,1.000000000000000000e+00
2.060000000000000000e+02,2.158000000000000114e+02,2.109000000000000057e+02,9.800000000000011369e+00,1.926406399981317463e-03,1.821080999995672300e-03,9.453254515834942362e-01,7.005138386773354653e-02,1.926406399981317463e+02,1.000000000000000000e+00
2.158000000000000114e+02,2.256000000000000227e+02,2.207000000000000171e+02,9.800000000000011369e+00,1.510708800019244791e-03,1.739245199999572833e-03,1.151277598950517067e+00,8.729706602451955955e-02,1.510708800019244791e+02,1.000000000000000000e+00
2.256000000000000227e+02,2.354000000000000057e+02,2.305000000000000000e+02,9.799999999999982947e+00,1.074719999998308140e-03,1.145853999972246129e-03,1.066188402536521140e+00,9.960228725195358068e-02,1.074719999998308140e+02,1.000000000000000000e+00
2.354000000000000057e+02,2.452000000000000171e+02,2.403000000000000114e+02,9.800000000000011369e+00,8.618134000073496281e-04,9.719288000269443728e-04,1.127771742721400683e+00,1.143941941186480821e-01,8.618134000073496281e+01,1.000000000000000000e+00
2.452000000000000171e+02,2.550000000000000284e+02,2.501000000000000227e+02,9.800000000000011369e+00,9.429332000152612636e-04,9.309993999764287764e-04,9.873439602734962461e-01,1.023278320988211532e-01,9.429332000152612636e+01,1.000000000000000000e+00
2.550000000000000284e+02,2.648000000000000114e+02,2.599000000000000341e+02,9.799999999999982947e+00,7.097314000006349488e-04,7.161616000033177443e-04,1.009060047227270829e+00,1.192371249175224052e-01,7.097314000006349488e+01,1.000000000000000000e+00
2.648000000000000114e+02,2.746000000000000227e+02,2.697000000000000455e+02,9.800000000000011369e+00,5.272301999852402332e-04,5.626863999950160178e-04,1.067249941317413908e+00,1.422764205068766385e-01,5.272301999852402332e+01,1.000000000000000000e+00
2.746000000000000227e+02,2.844000000000000341e+02,2.795000000000000000e+02,9.800000000000011369e+00,3.548609999981522378e-04,4.706151999869234714e-04,1.326195890755461848e+00,1.933190725440108171e-01,3.548609999981522378e+01,1.000000000000000000e+00
2.844000000000000341e+02,2.942000000000000455e+02,2.893000000000000682e+02,9.800000000000011369e+00,2.534778000153892208e-04,3.478500000042572537e-04,1.372309527631762949e+00,2.326784032005669578e-01,2.534778000153892208e+01,1.000000000000000000e+00
2.942000000000000455e+02,3.040000000000000000e+02,2.991000000000000227e+02,9.799999999999954525e+00,3.447310000126435625e-04,2.660013999999932821e-04,7.716201907871275134e-01,1.496103441669538459e-01,3.447310000126435625e+01,1.000000000000000000e+00
3.040000000000000000e+02,3.138000000000000114e+02,3.088999999999999773e+02,9.800000000000011369e+00,3.244469999970078788e-04,3.273864000092885362e-04,1.009059723197649472e+00,1.763545034280128987e-01,3.244469999970078788e+01,1.000000000000000000e+00
3.138000000000000114e+02,3.236000000000000227e+02,3.187000000000000455e+02,9.800000000000011369e+00,1.926434000054655371e-04,2.148448000056646379e-04,1.115246097190815799e+00,2.406070169498794598e-01,1.926434000054655371e+01,1.000000000000000000e+00
3.236000000000000227e+02,3.334000000000000341e+02,3.285000000000000000e+02,9.800000000000011369e+00,1.926412000017307946e-04,1.943868000111592664e-04,1.009061405397250422e+00,2.288675446122473700e-01,1.926412000017307946e+01,1.000000000000000000e+00
3.334000000000000341e+02,3.432000000000000455e+02,3.383000000000000682e+02,9.800000000000011369e+00,1.723625999972000500e-04,1.841485999989345146e-04,1.068379103134472929e+00,2.489666491492265321e-01,1.723625999972000500e+01,1.000000000000000000e+00
3.432000000000000455e+02,3.530000000000000000e+02,3.481000000000000227e+02,9.799999999999954525e+00,1.013901999940003407e-04,1.227699999972742262e-04,1.210866533496718800e+00,3.455812317166914172e-01,1.013901999940003407e+01,1.000000000000000000e+00
3.530000000000000000e+02,3.628000000000000114e+02,3.578999999999999773e+02,9.800000000000011369e+00,1.013910000082773877e-04,8.184480000750227191e-05,8.072195757100788516e-01,2.821604500932510806e-01,1.013910000082773877e+01,1.000000000000000000e+00
3.628000000000000114e+02,3.726000000000000227e+02,3.677000000000000455e+02,9.800000000000011369e+00,1.115298000016196056e-04,1.227694000007772956e-04,1.100776653405587391e+00,3.141623546158410774e-01,1.115298000016196056e+01,1.000000000000000000e+00
3.726000000000000227e+02,3.824000000000000341e+02,3.775000000000000000e+02,9.800000000000011369e+00,8.111199999660811955e-05,7.161580000314415884e-05,8.829248447349212769e-01,3.299281059274223882e-01,8.111199999660811955e+00,1.000000000000000000e+00
3.824000000000000341e+02,3.922000000000000455e+02,3.873000000000000682e+02,9.800000000000011369e+00,1.013916000047743182e-04,9.207800000865518086e-05,9.081422919089887635e-01,2.992788058504805004e-01,1.013916000047743182e+01,1.000000000000000000e+00
3.922000000000000455e+02,4.020000000000000000e+02,3.971000000000000227e+02,9.799999999999954525e+00,6.083520000288444862e-05,7.161599999250256587e-05,1.177213192183258261e+00,4.398960781129133135e-01,6.083520000288444862e+00,1.000000000000000000e+00
4.020000000000000000e+02,4.118000000000000114e+02,4.068999999999999773e+02,9.800000000000011369e+00,6.083440000992368368e-05,8.184419998968905929e-05,1.345360519317000403e+00,4.702672390282433557e-01,6.083440000992368368e+00,1.000000000000000000e+00
4.118000000000000114e+02,4.216000000000000227e+02,4.167000000000000455e+02,9.800000000000011369e+00,7.097459999982902445e-05,2.046160000190866413e-05,2.882946857320499712e-01,2.015425929370603664e-01,7.097459999982902445e+00,1.000000000000000000e+00
4.216000000000000227e+02,4.314000000000000341e+02,4.265000000000000000e+02,9.800000000000011369e+00,4.055680000192296575e-05,5.115299999403077891e-05,1.261268147181370480e+00,5.576630547827521323e-01,4.055680000192296575e+00,1.000000000000000000e+00
4.314000000000000341e+02,4.412000000000000455e+02,4.363000000000000682e+02,9.800000000000011369e+00,3.041760000854765167e-05,3.069320000292918849e-05,1.009060543708382385e+00,5.759650621313947561e-01,3.041760000854765167e+00,1.000000000000000000e+00
4.412000000000000455e+02,4.510000000000000568e+02,4.461000000000000227e+02,9.800000000000011369e+00,3.041659999780677026e-05,3.069099999919444599e-05,1.009021389682195347e+00,5.759633553735996614e-01,3.041659999780677026e+00,1.000000000000000000e+00
4.510000000000000568e+02,4.608000000000000114e+02,4.559000000000000341e+02,9.799999999999954525e+00,8.111260000021047745e-05,1.023080000095433206e-05,1.261308354180211699e-01,1.247000061317898867e-01,8.111260000021047745e+00,1.000000000000000000e+00
4.608000000000000114e+02,4.706000000000000227e+02,4.657000000000000455e+02,9.800000000000011369e+00,4.055680000192296575e-05,4.092379999320883144e-05,1.009049037184108766e+00,4.987975315867444470e-01,4.055680000192296575e+00,1.000000000000000000e+00
4.706000000000000227e+02,4.804000000000000341e+02,4.755000000000000000e+02,9.800000000000011369e+00,3.041880000154151276e-05,2.046160000190866413e-05,6.726629584622584312e-01,4.702488236193186899e-01,3.041880000154151276e+00,1.000000000000000000e+00
4.804000000000000341e+02,4.902000000000000455e+02,4.853000000000000682e+02,9.800000000000011369e+00,3.041640000134293587e-05,2.046200000194176027e-05,6.727291856050791052e-01,4.702905252562455951e-01,3.041640000134293587e+00,1.000000000000000000e+00
4.902000000000000455e+02,5.000000000000000000e+02,4.951000000000000227e+02,9.799999999999954525e+00,1.013800000038145299e-05,2.046219999840559467e-05,2.018366541490992372e+00,1.410989804590928820e+00,1.013800000038145299e+00,1.000000000000000000e+00
