bin_low_GeV,bin_high_GeV,bin_center_GeV,bin_width_GeV,SM_sigma_bin_pb,EFT_sigma_bin_pb,EFT_over_SM,ratio_stat_err,expected_SM_events,used_in_fit
1.000000000000000000e+01,1.980000000000000071e+01,1.490000000000000036e+01,9.800000000000000711e+00,3.937040590698148179e+01,3.969983212821901475e+01,1.008367356486388644e+00,5.060861390656284714e-04,3.937040590698148124e+06,1.000000000000000000e+00
1.980000000000000071e+01,2.960000000000000142e+01,2.470000000000000284e+01,9.800000000000000711e+00,7.021146125213931555e+00,7.101750483399690950e+00,1.011480227978206914e+00,1.200258231301228875e-03,7.021146125213931082e+05,1.000000000000000000e+00
2.960000000000000142e+01,3.940000000000000568e+01,3.450000000000000000e+01,9.800000000000004263e+00,2.225642317804464199e+00,2.256699571199888510e+00,1.013954287778847441e+00,2.134427967723464235e-03,2.225642317804464255e+05,1.000000000000000000e+00
3.940000000000000568e+01,4.920000000000000284e+01,4.430000000000000426e+01,9.799999999999997158e+00,9.296549352018388390e-01,9.386042569999801799e-01,1.009626498455793442e+00,3.295486073289714390e-03,9.296549352018388163e+04,1.000000000000000000e+00
4.920000000000000284e+01,5.900000000000000000e+01,5.410000000000000142e+01,9.799999999999997158e+00,4.539943890008899530e-01,4.591787425999456218e-01,1.011419422188157391e+00,4.719982645997026875e-03,4.539943890008899325e+04,1.000000000000000000e+00
5.900000000000000000e+01,6.880000000000001137e+01,6.390000000000000568e+01,9.800000000000011369e+00,2.498349918005047243e-01,2.509409833999853845e-01,1.004426888289386532e+00,6.340631769278745090e-03,2.498349918005047221e+04,1.000000000000000000e+00
6.880000000000001137e+01,7.860000000000000853e+01,7.370000000000001705e+01,9.799999999999997158e+00,1.463665442002834993e-01,1.467709767999849646e-01,1.002763149201282289e+00,8.277101355391483853e-03,1.463665442002834970e+04,1.000000000000000000e+00
7.860000000000000853e+01,8.840000000000000568e+01,8.350000000000000000e+01,9.799999999999997158e+00,9.157538420015498559e-02,9.221023660000327027e-02,1.006932566053566180e+00,1.048602330963627552e-02,9.157538420015498559e+03,1.000000000000000000e+00
8.840000000000000568e+01,9.820000000000000284e+01,9.330000000000001137e+01,9.799999999999997158e+00,5.878591840014735226e-02,5.847923160000334519e-02,9.947829887073222910e-01,1.300850898515488498e-02,5.878591840014734771e+03,1.000000000000000000e+00
9.820000000000000284e+01,1.080000000000000000e+02,1.030999999999999943e+02,9.799999999999997158e+00,3.946096600006399058e-02,3.894862940001786455e-02,9.870166229573473782e-01,1.581533433176037645e-02,3.946096600006399058e+03,1.000000000000000000e+00
