observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-1.00000000e+01,-9.75000000e+00,-9.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-9.75000000e+00,-9.50000000e+00,-9.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-9.50000000e+00,-9.25000000e+00,-9.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-9.25000000e+00,-9.00000000e+00,-9.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-9.00000000e+00,-8.75000000e+00,-8.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-8.75000000e+00,-8.50000000e+00,-8.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-8.50000000e+00,-8.25000000e+00,-8.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-8.25000000e+00,-8.00000000e+00,-8.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-8.00000000e+00,-7.75000000e+00,-7.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-7.75000000e+00,-7.50000000e+00,-7.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-7.50000000e+00,-7.25000000e+00,-7.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-7.25000000e+00,-7.00000000e+00,-7.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-7.00000000e+00,-6.75000000e+00,-6.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-6.75000000e+00,-6.50000000e+00,-6.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-6.50000000e+00,-6.25000000e+00,-6.37500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-6.25000000e+00,-6.00000000e+00,-6.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-6.00000000e+00,-5.75000000e+00,-5.87500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-5.75000000e+00,-5.50000000e+00,-5.62500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-5.50000000e+00,-5.25000000e+00,-5.37500000e+00,1,9.100800000000e-10
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-5.25000000e+00,-5.00000000e+00,-5.12500000e+00,0,0.000000000000e+00
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-5.00000000e+00,-4.75000000e+00,-4.87500000e+00,2,1.820160000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-4.75000000e+00,-4.50000000e+00,-4.62500000e+00,4,3.640320000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-4.50000000e+00,-4.25000000e+00,-4.37500000e+00,9,8.190720000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-4.25000000e+00,-4.00000000e+00,-4.12500000e+00,3,2.730240000000e-09
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-4.00000000e+00,-3.75000000e+00,-3.87500000e+00,11,1.001088000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-3.75000000e+00,-3.50000000e+00,-3.62500000e+00,28,2.548224000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-3.50000000e+00,-3.25000000e+00,-3.37500000e+00,36,3.276288000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-3.25000000e+00,-3.00000000e+00,-3.12500000e+00,61,5.551488000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-3.00000000e+00,-2.75000000e+00,-2.87500000e+00,100,9.100800000000e-08
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-2.75000000e+00,-2.50000000e+00,-2.62500000e+00,152,1.383321600000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-2.50000000e+00,-2.25000000e+00,-2.37500000e+00,243,2.211494400000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-2.25000000e+00,-2.00000000e+00,-2.12500000e+00,428,3.895142400000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-2.00000000e+00,-1.75000000e+00,-1.87500000e+00,681,6.197644800000e-07
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-1.75000000e+00,-1.50000000e+00,-1.62500000e+00,1161,1.056602880000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-1.50000000e+00,-1.25000000e+00,-1.37500000e+00,1866,1.698209280000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-1.25000000e+00,-1.00000000e+00,-1.12500000e+00,3097,2.818517760000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-1.00000000e+00,-7.50000000e-01,-8.75000000e-01,5021,4.569511680000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-7.50000000e-01,-5.00000000e-01,-6.25000000e-01,8187,7.450824960000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-5.00000000e-01,-2.50000000e-01,-3.75000000e-01,13174,1.198939392000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,-2.50000000e-01,0.00000000e+00,-1.25000000e-01,20658,1.880043264000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,0.00000000e+00,2.50000000e-01,1.25000000e-01,32387,2.947476096000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.50000000e-01,5.00000000e-01,3.75000000e-01,48117,4.379031936000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,5.00000000e-01,7.50000000e-01,6.25000000e-01,70286,6.396588288000e-05
