observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-7.50000000e-01,-5.00000000e-01,-6.25000000e-01,8168,7.433533440000e-06
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-5.00000000e-01,-2.50000000e-01,-3.75000000e-01,13148,1.196573184000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,-2.50000000e-01,0.00000000e+00,-1.25000000e-01,20618,1.876402944000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,0.00000000e+00,2.50000000e-01,1.25000000e-01,32337,2.942925696000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,2.50000000e-01,5.00000000e-01,3.75000000e-01,48068,4.374572544000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,5.00000000e-01,7.50000000e-01,6.25000000e-01,70228,6.391309824000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,7.50000000e-01,1.00000000e+00,8.75000000e-01,97221,8.847888768000e-05
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,1.00000000e+00,1.25000000e+00,1.12500000e+00,126150,1.148065920000e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,1.25000000e+00,1.50000000e+00,1.37500000e+00,153908,1.400685926400e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,1.50000000e+00,1.75000000e+00,1.62500000e+00,176655,1.607701824000e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,1.75000000e+00,2.00000000e+00,1.87500000e+00,189298,1.722763238400e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,2.00000000e+00,2.25000000e+00,2.12500000e+00,191449,1.742339059200e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,2.25000000e+00,2.50000000e+00,2.37500000e+00,184306,1.677332044800e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,2.50000000e+00,2.75000000e+00,2.62500000e+00,167525,1.524611520000e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,2.75000000e+00,3.00000000e+00,2.87500000e+00,142681,1.298511244800e-04
eta_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,999564,3.00000000e+00,3.25000000e+00,3.12500000e+00,113156,1.029810124800e-04
