observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,8.50000000e+02,8.75000000e+02,8.62500000e+02,13869,1.262189952000e-07
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,8.75000000e+02,9.00000000e+02,8.87500000e+02,10109,9.199998720000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,9.00000000e+02,9.25000000e+02,9.12500000e+02,7367,6.704559360000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,9.25000000e+02,9.50000000e+02,9.37500000e+02,4861,4.423898880000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,9.50000000e+02,9.75000000e+02,9.62500000e+02,3131,2.849460480000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,9.75000000e+02,1.00000000e+03,9.87500000e+02,1862,1.694568960000e-08
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.00000000e+03,1.02500000e+03,1.01250000e+03,962,8.754969600000e-09
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.02500000e+03,1.05000000e+03,1.03750000e+03,439,3.995251200000e-09
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.05000000e+03,1.07500000e+03,1.06250000e+03,213,1.938470400000e-09
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.07500000e+03,1.10000000e+03,1.08750000e+03,56,5.096448000000e-10
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.10000000e+03,1.12500000e+03,1.11250000e+03,19,1.729152000000e-10
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.12500000e+03,1.15000000e+03,1.13750000e+03,1,9.100800000000e-12
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.15000000e+03,1.17500000e+03,1.16250000e+03,0,0.000000000000e+00
Maa,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.17500000e+03,1.20000000e+03,1.18750000e+03,0,0.000000000000e+00
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,0.00000000e+00,2.50000000e+01,1.25000000e+01,0,0.000000000000e+00
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,2.50000000e+01,5.00000000e+01,3.75000000e+01,10,2.275960000000e-09
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,5.00000000e+01,7.50000000e+01,6.25000000e+01,87,1.980085200000e-08
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,7.50000000e+01,1.00000000e+02,8.75000000e+01,361,8.216215600000e-08
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.00000000e+02,1.25000000e+02,1.12500000e+02,919,2.091607240000e-07
Maa,run_07_fT8_5_TeV^-4,5.689900000000e-03,1000000,1000000,1.25000000e+02,1.50000000e+02,1.37500000e+02,1759,4.003413640000e-07
