observable,run_label,sigma_total_pb,generated_events,selected_events,bin_low,bin_high,bin_center,counts,dsigma_pb_per_unit
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,0.00000000e+00,1.25000000e+01,6.25000000e+00,4192,7.630110720000e-08
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.25000000e+01,2.50000000e+01,1.87500000e+01,12440,2.264279040000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.50000000e+01,3.75000000e+01,3.12500000e+01,21142,3.848182272000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,3.75000000e+01,5.00000000e+01,4.37500000e+01,29238,5.321783808000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,5.00000000e+01,6.25000000e+01,5.62500000e+01,37488,6.823415808000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,6.25000000e+01,7.50000000e+01,6.87500000e+01,45638,8.306846208000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,7.50000000e+01,8.75000000e+01,8.12500000e+01,53190,9.681431040000e-07
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,8.75000000e+01,1.00000000e+02,9.37500000e+01,61548,1.120272076800e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.00000000e+02,1.12500000e+02,1.06250000e+02,69382,1.262863411200e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.12500000e+02,1.25000000e+02,1.18750000e+02,75870,1.380955392000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.25000000e+02,1.37500000e+02,1.31250000e+02,80880,1.472145408000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.37500000e+02,1.50000000e+02,1.43750000e+02,85914,1.563772262400e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.50000000e+02,1.62500000e+02,1.56250000e+02,90400,1.645424640000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.62500000e+02,1.75000000e+02,1.68750000e+02,93560,1.702941696000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.75000000e+02,1.87500000e+02,1.81250000e+02,94540,1.720779264000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,1.87500000e+02,2.00000000e+02,1.93750000e+02,95908,1.745679052800e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.00000000e+02,2.12500000e+02,2.06250000e+02,95440,1.737160704000e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.12500000e+02,2.25000000e+02,2.18750000e+02,95438,1.737124300800e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.25000000e+02,2.37500000e+02,2.31250000e+02,92724,1.687725158400e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.37500000e+02,2.50000000e+02,2.43750000e+02,89266,1.624784025600e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.50000000e+02,2.62500000e+02,2.56250000e+02,85612,1.558275379200e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.62500000e+02,2.75000000e+02,2.68750000e+02,79992,1.455982387200e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.75000000e+02,2.87500000e+02,2.81250000e+02,74648,1.358713036800e-06
pt_gamma,run_06_fT8_1_TeV^-4,2.275200000000e-04,1000000,1000000,2.87500000e+02,3.00000000e+02,2.93750000e+02,69486,1.264756377600e-06
